name,team,position,next_opponent,fixture,predicted_points,now_cost,points_per_game,form,expected_goals,minutes,assists,goals_scored,yellow_cards,red_cards,saves_per_90,total_points,clean_sheets,opponent_difficulty,is_home,chance_of_playing_this_round,player_code,web_name,display_name,image_url_primary,image_url_secondary,image_url_tertiary
Cody Gakpo,Liverpool,MID,Everton,Liverpool (H) vs Everton,3.474767792207784,7.7,5.8,5.3,0.0312,360,2,1,0,0,0.0,23,2,3,True,,243298,Gakpo,Cody Gakpo,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p243298.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p243298.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_243298.png
Dan Burn,Newcastle,DEF,Bournemouth,Newcastle (A) vs Bournemouth,3.4741899350649246,5.0,5.8,4.7,0.003,360,0,0,1,0,0.0,23,3,3,False,,78916,Burn,Dan Burn,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p78916.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p78916.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_78916.png
Fabian Schär,Newcastle,DEF,Bournemouth,Newcastle (A) vs Bournemouth,3.4736649350649245,5.5,5.8,5.0,0.0048000000000000004,350,0,0,0,0,0.0,23,3,3,False,100.0,119471,Schär,Fabian Schär,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p119471.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p119471.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_119471.png
James Tarkowski,Everton,DEF,Liverpool,Everton (A) vs Liverpool,3.471969935064925,5.5,5.8,6.3,0.012,360,0,0,0,0,0.0,23,2,1,False,,17761,Tarkowski,James Tarkowski,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p17761.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p17761.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_17761.png
Josh Cullen,Burnley,MID,Nott'm Forest,Burnley (H) vs Nott'm Forest,3.4658827922077817,5.0,5.8,6.3,0.0048000000000000004,332,1,1,0,0,0.0,23,2,3,True,,172567,Cullen,Josh Cullen,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p172567.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p172567.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_172567.png
Gabriel dos Santos Magalhães,Arsenal,DEF,Man City,Arsenal (H) vs Man City,3.464619935064925,6.1,5.8,5.7,0.0156,360,0,0,0,0,0.0,23,3,2,True,,226597,Gabriel,Gabriel dos Santos Magalhães,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p226597.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p226597.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_226597.png
Lucas Tolentino Coelho de Lima,West Ham,MID,Crystal Palace,West Ham (H) vs Crystal Palace,3.4605177922077823,5.9,5.8,7.0,0.0858,337,0,2,0,0,0.0,23,1,3,True,,224024,L.Paquetá,Lucas Tolentino Coelho de Lima,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p224024.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p224024.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_224024.png
Chris Richards,Crystal Palace,DEF,West Ham,Crystal Palace (A) vs West Ham,3.3300380303030286,4.5,5.5,5.3,0.0162,360,0,0,0,0,0.0,22,3,3,False,,427623,Richards,Chris Richards,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p427623.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p427623.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_427623.png
Tyrick Mitchell,Crystal Palace,DEF,West Ham,Crystal Palace (A) vs West Ham,3.3181130303030275,5.0,5.5,4.3,0.0,360,0,0,1,0,0.0,22,3,3,False,,244723,Mitchell,Tyrick Mitchell,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p244723.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p244723.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_244723.png
Virgil van Dijk,Liverpool,DEF,Everton,Liverpool (H) vs Everton,3.30485303030303,6.1,5.5,6.3,0.0108,360,0,0,0,0,0.0,22,2,3,True,,97032,Virgil,Virgil van Dijk,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p97032.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p97032.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_97032.png
Iliman Ndiaye,Everton,MID,Liverpool,Everton (A) vs Liverpool,3.2951430303030302,6.5,5.5,6.7,0.0786,333,0,2,0,0,0.0,22,2,1,False,75.0,440993,Ndiaye,Iliman Ndiaye,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p440993.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p440993.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_440993.png
William Saliba,Arsenal,DEF,Man City,Arsenal (H) vs Man City,3.1536183333333354,6.0,5.3,2.3,0.0,184,0,0,0,0,0.0,16,2,2,True,75.0,462424,Saliba,William Saliba,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p462424.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p462424.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_462424.png
Bafodé Diakité,Bournemouth,DEF,Newcastle,Bournemouth (H) vs Newcastle,3.149325833333335,4.5,5.3,5.3,0.0,270,0,0,0,0,0.0,16,2,2,True,,242882,Diakité,Bafodé Diakité,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p242882.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p242882.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_242882.png
Dango Ouattara,Brentford,MID,Fulham,Brentford (A) vs Fulham,3.1406676190476213,6.0,5.3,5.3,0.051000000000000004,190,0,1,0,0,0.0,16,1,3,False,100.0,533463,O.Dango,Dango Ouattara,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p533463.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p533463.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_533463.png
Pedro Porro Sauceda,Spurs,DEF,Brighton,Spurs (A) vs Brighton,3.124844761904767,5.6,5.2,5.0,0.0066,340,0,0,1,0,0.0,21,3,3,False,,441164,Pedro Porro,Pedro Porro Sauceda,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p441164.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p441164.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_441164.png
Kieran Trippier,Newcastle,DEF,Bournemouth,Newcastle (A) vs Bournemouth,3.124479761904767,5.0,5.2,5.0,0.0,316,0,0,0,0,0.0,21,3,3,False,,77794,Trippier,Kieran Trippier,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p77794.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p77794.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_77794.png
Dean Henderson,Crystal Palace,GKP,West Ham,Crystal Palace (A) vs West Ham,3.1227347619047667,5.0,5.2,5.0,0.0,360,0,0,0,0,1.5,21,3,3,False,,172649,Henderson,Dean Henderson,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p172649.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_172649.png
James Garner,Everton,MID,Liverpool,Everton (A) vs Liverpool,3.114587261904766,5.0,5.2,6.3,0.009,360,0,1,1,0,0.0,21,2,1,False,,232928,Garner,James Garner,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p232928.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p232928.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_232928.png
Joe Rodon,Leeds,DEF,Wolves,Leeds (A) vs Wolves,3.0085119047619053,4.0,5.0,4.3,0.0,360,0,0,0,0,0.0,20,2,3,False,100.0,214225,Rodon,Joe Rodon,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p214225.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p214225.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_214225.png
Marcus Tavernier,Bournemouth,MID,Newcastle,Bournemouth (H) vs Newcastle,3.006934047619048,5.5,5.0,5.3,0.0516,332,0,1,0,0,0.0,20,2,2,True,,201658,Tavernier,Marcus Tavernier,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p201658.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p201658.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_201658.png
Marc Cucurella Saseta,Chelsea,DEF,Man Utd,Chelsea (A) vs Man Utd,3.001598214285715,6.2,5.0,4.0,0.0102,293,1,0,0,0,0.0,20,2,3,False,,179268,Cucurella,Marc Cucurella Saseta,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p179268.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p179268.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_179268.png
Cole Palmer,Chelsea,MID,Man Utd,Chelsea (A) vs Man Utd,2.9996207142857148,10.4,5.0,2.3,0.048,124,0,1,0,0,0.0,10,1,3,False,75.0,244851,Palmer,Cole Palmer,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p244851.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p244851.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_244851.png
Viktor Gyökeres,Arsenal,FWD,Man City,Arsenal (H) vs Man City,2.9994982142857145,9.0,5.0,6.3,0.1272,306,0,3,1,0,0.0,20,2,2,True,,224117,Gyökeres,Viktor Gyökeres,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p224117.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p224117.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_224117.png
