id,name,now_cost,position,team,cost_change_start_fall,creativity,status,form_rank,expected_assists_per_90,goals_scored,region,selected_rank,threat_rank_type,creativity_rank,direct_freekicks_order,assists,expected_goal_involvements,cost_change_event,web_name,form_rank_type,clean_sheets,penalties_missed,ict_index_rank_type,cost_change_start,value_season,can_select,expected_goals_conceded_per_90,clean_sheets_per_90,event_points,goals_conceded,form,cost_change_event_fall,transfers_out,threat_rank,points_per_game,value_form,minutes,ict_index_rank,chance_of_playing_next_round,red_cards,expected_assists,points_per_game_rank_type,influence_rank_type,now_cost_rank,creativity_rank_type,ep_next,dreamteam_count,yellow_cards,in_dreamteam,saves,penalties_order,bps,selected_rank_type,ep_this,saves_per_90,news_added,expected_goals,transfers_out_event,threat,news,ict_index,influence,transfers_in,expected_goals_conceded,points_per_game_rank,bonus,now_cost_rank_type,penalties_saved,starts_per_90,team_join_date,expected_goals_per_90,influence_rank,starts,own_goals,goals_conceded_per_90,total_points,transfers_in_event,chance_of_playing_this_round,corners_and_indirect_freekicks_order,expected_goal_involvements_per_90,selected_by_percent
659,Ismeal Kabia,45,MID,Arsenal,0,0.0,a,630,0.0,0,152.0,635,291,674,,0,0.00,0,Kabia,264,0,0,294,0,0.0,True,0.0,0.0,0,0,0.0,0,1898,660,0.0,0.0,0,677,,0,0.00,298,295,464,297,0.5,0,0,False,0,,0,270,0.5,0.0,,0.00,35,0.0,,0.0,0.0,2464,0.00,684,0,292,0,0.0,2024-09-14,0.0,678,0,0,0.0,0,39,,,0.0,0.0
662,Josh Nichols,40,DEF,Arsenal,0,0.0,a,462,0.0,0,241.0,541,185,530,,0,0.00,0,Nichols,169,0,0,200,0,0.0,True,0.0,0.0,0,0,0.0,0,3067,495,0.0,0.0,0,549,,0,0.00,200,200,656,197,0.5,0,0,False,0,,0,193,0.5,0.0,,0.00,71,0.0,,0.0,0.0,4028,0.00,557,0,188,0,0.0,2024-07-24,0.0,549,0,0,0.0,0,60,,,0.0,0.0
665,Nathan Butler-Oyedeji,45,FWD,Arsenal,0,0.0,a,574,0.0,0,241.0,356,53,622,,0,0.00,0,Butler-Oyedeji,48,0,0,53,0,0.0,True,0.0,0.0,0,0,0.0,0,35672,604,0.0,0.0,0,626,,0,0.00,57,53,390,53,0.5,0,0,False,0,,0,57,0.5,0.0,,0.00,723,0.0,,0.0,0.0,50332,0.00,634,0,65,0,0.0,2024-09-18,0.0,626,0,0,0.0,0,506,,,0.0,0.2
28,Leon Bailey,62,MID,Aston Villa,3,205.6,a,123,0.27,1,107.0,222,56,125,4.0,2,3.99,0,Bailey,57,1,0,91,-3,6.5,True,1.04,0.1,1,15,2.6,0,439006,86,2.2,0.4,919,165,100.0,0,2.73,105,130,61,87,2.6,0,2,False,0,,149,66,2.1,0.0,2024-12-09T09:30:06.119495Z,1.26,1544,232.0,,56.3,127.6,157603,10.61,240,2,38,0,1.18,2021-08-04,0.12,288,12,0,1.47,40,1033,100.0,3.0,0.39,0.8
29,Ross Barkley,52,MID,Aston Villa,3,115.5,i,137,0.07,3,241.0,319,78,205,,1,2.09,0,Barkley,66,1,0,103,-3,7.7,True,0.89,0.17,0,9,2.4,0,87244,118,2.5,0.5,544,196,0.0,0,0.41,84,88,157,129,0.0,1,3,False,0,,150,100,0.0,0.0,2025-01-11T01:30:08.379812Z,1.68,845,185.0,Calf injury - Expected back 01 Feb,50.3,203.4,25907,5.36,195,5,93,0,0.5,2024-07-01,0.28,215,3,0,1.49,40,9,0.0,,0.35,0.3
30,Enzo Barrenechea,49,MID,Aston Villa,1,0.0,u,675,0.0,0,,619,307,699,,0,0.00,0,Barrenechea,294,0,0,309,-1,0.0,False,0.0,0.0,0,0,0.0,0,5265,691,0.0,0.0,0,702,0.0,0,0.00,310,309,278,310,0.0,0,0,False,0,,0,262,0.0,0.0,2024-08-31T06:33:47.934620Z,0.00,4,0.0,Loaned to Valencia CF,0.0,0.0,872,0.00,704,0,181,0,0.0,,0.0,702,0,0,0.0,0,0,0.0,,0.0,0.0
31,Emiliano Buendía Stati,51,MID,Aston Villa,4,22.4,a,327,0.03,0,10.0,473,191,358,3.0,0,0.65,0,Buendia,162,0,0,204,-4,2.0,True,2.54,0.0,0,2,0.6,0,15276,358,0.9,0.1,71,429,,0,0.02,229,203,177,195,0.6,0,1,False,0,,36,174,0.1,0.0,,0.63,96,15.0,,5.1,16.4,6553,2.00,482,0,109,0,0.0,2021-06-10,0.8,437,0,0,2.54,10,98,,,0.83,0.1
32,Matty Cash,44,DEF,Aston Villa,1,98.0,a,113,0.07,1,172.0,190,48,224,,1,1.17,0,Cash,34,2,0,70,-1,8.2,True,1.26,0.15,4,16,2.6,0,361914,201,2.4,0.6,1168,226,100.0,0,0.95,59,80,489,57,2.6,0,5,False,0,,123,76,2.1,0.0,2024-12-27T00:30:09.083461Z,0.22,1445,94.0,,41.1,218.6,171291,16.32,200,1,89,0,1.08,2020-09-03,0.02,205,14,0,1.23,36,8340,100.0,,0.09,1.2
33,Leander Dendoncker,45,MID,Aston Villa,0,0.0,u,558,0.0,0,,355,242,607,,0,0.00,0,Dendoncker,213,0,0,246,0,0.0,False,0.0,0.0,0,0,0.0,0,92146,589,0.0,0.0,0,611,0.0,0,0.00,250,246,362,250,0.0,0,0,False,0,,0,116,0.0,0.0,2024-09-02T10:45:36.198316Z,0.00,124,0.0,On loan to Anderlecht for the rest of the season,0.0,0.0,18187,0.00,619,0,230,0,0.0,,0.0,611,0,0,0.0,0,0,0.0,,0.0,0.2
34,Moussa Diaby,65,MID,Aston Villa,0,0.0,u,723,0.0,0,,633,327,730,,0,0.00,0,Diaby,325,0,0,327,0,0.0,False,0.0,0.0,0,0,0.0,0,3378,730,0.0,0.0,0,730,0.0,0,0.00,327,327,43,327,0.0,0,0,False,0,,0,268,0.0,0.0,2024-07-26T08:50:40.300928Z,0.00,6,0.0,Permanent transfer to Al Ittihad,0.0,0.0,0,0.00,730,0,24,0,0.0,,0.0,730,0,0,0.0,0,0,0.0,,0.0,0.0
